                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7206,                 10.163,                 2.8303,                      0,                      0,                      0,                      0,                 5.1142,                 10.374,                 2.7989,               3.45e-06,               3.45e-06,               3.45e-06
                      2,                 5.9709,                 10.279,                 2.8951,                      0,                      0,                      0,                      0,                 5.0314,                 10.376,                 2.7449,             1.0299e-05,             1.0299e-05,             1.0299e-05
                      3,                 5.3774,                 10.132,                 2.6973,                      0,                      0,                      0,                      0,                 4.9432,                 10.369,                 2.6717,             1.7079e-05,             1.7079e-05,             1.7079e-05
                      4,                 4.7964,                 10.187,                 2.4542,                      0,                      0,                      0,                      0,                 4.7795,                  10.36,                 2.5576,             2.3791e-05,             2.3791e-05,             2.3791e-05
