                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1688,                 8.1733,                 2.7683,                      0,                      0,                      0,                      0,                 6.0199,                 8.2995,                 2.9475,                      0,                      0,                      0
                      2,                 5.0972,                 8.2015,                  2.791,                      0,                      0,                      0,                      0,                 5.9463,                 8.2999,                 2.9087,             1.4276e-05,             1.4276e-05,             1.4276e-05
                      3,                 4.7504,                 8.0821,                 2.6181,                      0,                      0,                      0,                      0,                 5.7907,                  8.298,                 2.8408,             2.8523e-05,             2.8523e-05,             2.8523e-05
                      4,                 6.1833,                 8.1818,                 2.7778,                      0,                      0,                      0,                      0,                 5.5806,                 8.2969,                 2.7614,             4.2743e-05,             4.2743e-05,             4.2743e-05
                      5,                 5.0054,                 8.0317,                 2.7357,                      0,                      0,                      0,                      0,                 5.3877,                 8.2852,                 2.6806,             5.6934e-05,             5.6934e-05,             5.6934e-05
                      6,                 4.6845,                 8.0231,                 2.4771,                0.00142,                0.00309,                0.00072,                0.00057,                 5.1865,                 8.2706,                 2.5854,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      7,                 4.4944,                 7.9743,                 2.4067,                0.00154,                0.00309,                0.00078,                0.00071,                 4.9658,                 8.2503,                 2.5009,             8.5231e-05,             8.5231e-05,             8.5231e-05
                      8,                 4.5319,                 7.9591,                 2.3913,                0.00157,                0.00309,                0.00082,                0.00074,                 4.8134,                 8.1852,                 2.4053,             9.9337e-05,             9.9337e-05,             9.9337e-05
                      9,                 3.9274,                 7.5772,                 2.2698,                0.00168,                0.00309,                0.00102,                0.00082,                  4.675,                 8.1207,                 2.3327,             0.00011341,             0.00011341,             0.00011341
                     10,                 4.0121,                 7.7101,                  2.297,                0.00177,                0.00309,                0.00172,                0.00149,                 4.5375,                 8.0467,                 2.2856,             0.00012746,             0.00012746,             0.00012746
                     11,                 3.6884,                 7.5546,                 2.2516,                 0.0018,                0.00309,                0.00173,                0.00151,                  4.413,                 7.9875,                 2.2367,             0.00014149,             0.00014149,             0.00014149
                     12,                  4.433,                 7.6768,                 2.2759,                0.00182,                0.00309,                0.00174,                0.00144,                 4.3047,                 7.9719,                  2.218,             0.00015548,             0.00015548,             0.00015548
                     13,                  4.761,                 7.6448,                 2.3136,                 0.0019,                0.00309,                0.00123,                0.00106,                 4.2825,                 7.9844,                 2.2131,             0.00016944,             0.00016944,             0.00016944
                     14,                 3.9379,                 7.2346,                 2.2422,                0.00193,                0.00309,                0.00108,                0.00084,                 4.3355,                 7.9993,                 2.1991,             0.00018338,             0.00018338,             0.00018338
                     15,                 3.7517,                 7.0834,                 2.1187,                0.00286,                0.00561,                0.00162,                0.00096,                 4.3224,                 7.9948,                 2.1934,             0.00019729,             0.00019729,             0.00019729
                     16,                 4.1901,                 7.2008,                 2.1449,                0.00284,                0.00561,                0.00184,                0.00124,                 4.3147,                 7.9674,                 2.1756,             0.00021117,             0.00021117,             0.00021117
                     17,                 3.7147,                 6.8104,                 2.1408,                0.00276,                0.00561,                0.00306,                0.00174,                 4.2878,                 7.9206,                 2.1629,             0.00022502,             0.00022502,             0.00022502
                     18,                 3.8824,                 6.9203,                 2.1639,                0.00276,                0.00561,                0.00306,                0.00174,                 4.2878,                 7.9206,                 2.1629,             0.00023884,             0.00023884,             0.00023884
                     19,                  4.314,                 7.0645,                 2.1502,                0.00344,                0.00814,                0.00366,                0.00197,                 4.1634,                 7.8567,                 2.1496,             0.00025264,             0.00025264,             0.00025264
                     20,                 3.6775,                 7.0213,                 2.1094,                0.00344,                0.00814,                0.00366,                0.00197,                 4.1634,                 7.8567,                 2.1496,              0.0002664,              0.0002664,              0.0002664
                     21,                 4.7911,                 7.1651,                  2.192,                0.00421,                0.01066,                 0.0044,                0.00228,                 4.2175,                 7.8103,                 2.1414,             0.00028014,             0.00028014,             0.00028014
                     22,                 3.5261,                 6.6616,                 2.0739,                0.00421,                0.01066,                 0.0044,                0.00228,                 4.2175,                 7.8103,                 2.1414,             0.00029385,             0.00029385,             0.00029385
                     23,                 3.2914,                 6.3408,                 2.0223,                0.00419,                0.01066,                0.00435,                0.00197,                 4.2206,                 7.8123,                 2.1645,             0.00030753,             0.00030753,             0.00030753
                     24,                 3.8907,                 6.9107,                 2.0166,                0.00419,                0.01066,                0.00435,                0.00197,                 4.2206,                 7.8123,                 2.1645,             0.00032119,             0.00032119,             0.00032119
                     25,                 3.6487,                 6.5416,                  2.056,                0.00424,                0.01066,                0.00604,                0.00207,                  4.181,                 7.8292,                 2.1795,             0.00033481,             0.00033481,             0.00033481
                     26,                  3.892,                 6.8308,                 2.0848,                0.00424,                0.01066,                0.00604,                0.00207,                  4.181,                 7.8292,                 2.1795,             0.00034841,             0.00034841,             0.00034841
                     27,                 3.5029,                 6.3483,                 1.9931,                0.00432,                0.01066,                0.00645,                0.00213,                  4.225,                 7.8681,                 2.2054,             0.00036198,             0.00036198,             0.00036198
                     28,                 3.7923,                 6.4313,                 2.0214,                0.00432,                0.01066,                0.00645,                0.00213,                  4.225,                 7.8681,                 2.2054,             0.00037552,             0.00037552,             0.00037552
                     29,                 4.1976,                 6.4499,                 2.0014,                0.00433,                0.01066,                0.00658,                0.00222,                 4.3697,                 7.9247,                 2.2678,             0.00038903,             0.00038903,             0.00038903
                     30,                 4.3799,                 6.3975,                 2.1598,                0.00433,                0.01066,                0.00658,                0.00222,                 4.3697,                 7.9247,                 2.2678,             0.00040251,             0.00040251,             0.00040251
                     31,                 3.6526,                 6.0121,                 1.9845,                 0.0043,                0.01066,                0.00444,                0.00193,                 4.2578,                 7.8708,                 2.2495,             0.00041597,             0.00041597,             0.00041597
                     32,                 4.0152,                 6.0457,                 2.1272,                 0.0043,                0.01066,                0.00444,                0.00193,                 4.2578,                 7.8708,                 2.2495,             0.00042939,             0.00042939,             0.00042939
                     33,                 3.9645,                 6.1914,                 2.0941,                0.00421,                0.01066,                0.00418,                0.00206,                 4.1167,                 7.7484,                 2.1696,             0.00044279,             0.00044279,             0.00044279
                     34,                 3.6221,                 5.6309,                 1.9509,                0.00421,                0.01066,                0.00418,                0.00206,                 4.1167,                 7.7484,                 2.1696,             0.00045616,             0.00045616,             0.00045616
                     35,                 3.5141,                 5.8402,                 1.9389,                0.01675,                0.04125,                0.01799,                0.00739,                 3.9982,                 7.6207,                 2.1317,             0.00046951,             0.00046951,             0.00046951
                     36,                  3.607,                 5.4219,                 1.9069,                0.01675,                0.04125,                0.01799,                0.00739,                 3.9982,                 7.6207,                 2.1317,             0.00048282,             0.00048282,             0.00048282
                     37,                 3.3945,                 5.4285,                 2.0603,                0.02589,                0.06369,                0.04521,                0.02088,                 3.8773,                  7.515,                 2.0911,             0.00049611,             0.00049611,             0.00049611
                     38,                 3.4076,                 4.6007,                 1.9939,                0.02589,                0.06369,                0.04521,                0.02088,                 3.8773,                  7.515,                 2.0911,             0.00050936,             0.00050936,             0.00050936
                     39,                 4.6084,                 5.3597,                 2.0543,                0.03187,                0.07744,                0.05893,                0.02655,                  3.916,                 7.4419,                 2.0997,             0.00052259,             0.00052259,             0.00052259
                     40,                 3.6068,                 5.3933,                 2.0684,                0.03187,                0.07744,                0.05893,                0.02655,                  3.916,                 7.4419,                 2.0997,             0.00053579,             0.00053579,             0.00053579
                     41,                 3.8511,                 5.2528,                 2.0094,                0.04079,                0.09877,                0.06984,                0.02863,                 4.1522,                 7.3833,                 2.1196,             0.00054896,             0.00054896,             0.00054896
                     42,                 3.9126,                 5.0698,                 1.9419,                0.04079,                0.09877,                0.06984,                0.02863,                 4.1522,                 7.3833,                 2.1196,             0.00056211,             0.00056211,             0.00056211
                     43,                 3.4834,                 4.5511,                 1.9782,                0.04952,                0.12065,                0.09256,                0.03393,                  4.375,                 7.2626,                 2.1468,             0.00057522,             0.00057522,             0.00057522
                     44,                 3.5472,                 4.4361,                 2.0998,                0.04952,                0.12065,                0.09256,                0.03393,                  4.375,                 7.2626,                 2.1468,             0.00058831,             0.00058831,             0.00058831
                     45,                 3.7977,                 4.7922,                 1.9933,                0.06771,                0.16526,                0.11308,                0.04309,                 4.2421,                 7.1322,                 2.1138,             0.00060137,             0.00060137,             0.00060137
                     46,                 3.7842,                 4.4047,                 1.9438,                0.06771,                0.16526,                0.11308,                0.04309,                 4.2421,                 7.1322,                 2.1138,              0.0006144,              0.0006144,              0.0006144
                     47,                 4.0186,                 4.7947,                 1.9775,                0.07417,                0.18603,                0.12628,                0.04957,                 4.4115,                  6.992,                 2.1636,              0.0006274,              0.0006274,              0.0006274
                     48,                 3.3981,                  3.879,                 1.9925,                0.07417,                0.18603,                0.12628,                0.04957,                 4.4115,                  6.992,                 2.1636,             0.00064038,             0.00064038,             0.00064038
                     49,                 3.4684,                 3.8218,                 2.0676,                0.09442,                0.23401,                0.17572,                0.06845,                  4.245,                 6.8326,                 2.1067,             0.00065333,             0.00065333,             0.00065333
                     50,                 3.2987,                 3.2427,                 1.9792,                0.09442,                0.23401,                0.17572,                0.06845,                  4.245,                 6.8326,                 2.1067,             0.00066624,             0.00066624,             0.00066624
                     51,                 3.3249,                 3.3243,                  1.918,                0.10933,                 0.2601,                0.20579,                0.08238,                  4.156,                 6.7299,                 2.1005,             0.00067913,             0.00067913,             0.00067913
                     52,                 3.4285,                 3.5964,                 2.0099,                0.10933,                 0.2601,                0.20579,                0.08238,                  4.156,                 6.7299,                 2.1005,             0.00069199,             0.00069199,             0.00069199
                     53,                  3.491,                 3.3815,                 1.9354,                0.10933,                 0.2601,                0.20579,                0.08238,                  4.156,                 6.7299,                 2.1005,             0.00070483,             0.00070483,             0.00070483
                     54,                  4.557,                 4.1995,                 2.0442,                0.11748,                0.26571,                0.20166,                0.08411,                 4.1408,                 6.6272,                 2.1155,             0.00071763,             0.00071763,             0.00071763
                     55,                 3.5592,                  3.492,                 1.9001,                0.11748,                0.26571,                0.20166,                0.08411,                 4.1408,                 6.6272,                 2.1155,             0.00073041,             0.00073041,             0.00073041
                     56,                 4.4838,                 3.7838,                 1.9737,                0.11748,                0.26571,                0.20166,                0.08411,                 4.1408,                 6.6272,                 2.1155,             0.00074316,             0.00074316,             0.00074316
                     57,                 3.8375,                 3.4956,                 2.0598,                0.10209,                 0.2284,                0.16952,                0.07721,                 4.2998,                 6.6249,                  2.171,             0.00075587,             0.00075587,             0.00075587
                     58,                 3.6978,                 3.6404,                  1.981,                0.10209,                 0.2284,                0.16952,                0.07721,                 4.2998,                 6.6249,                  2.171,             0.00076857,             0.00076857,             0.00076857
                     59,                 3.2998,                 3.0405,                 1.9734,                0.10209,                 0.2284,                0.16952,                0.07721,                 4.2998,                 6.6249,                  2.171,             0.00078123,             0.00078123,             0.00078123
