                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8927,                 8.3637,                 2.9933,                      0,                      0,                      0,                      0,                  6.213,                 8.3126,                 3.0825,                      0,                      0,                      0
                      2,                 7.1396,                 8.3762,                  3.176,                      0,                      0,                      0,                      0,                  6.086,                 8.3076,                 3.0252,             1.4007e-05,             1.4007e-05,             1.4007e-05
                      3,                 6.0667,                 8.3842,                 3.0764,                      0,                      0,                      0,                      0,                 5.9436,                 8.3022,                 2.9507,             2.7448e-05,             2.7448e-05,             2.7448e-05
                      4,                 5.9744,                 8.3327,                 2.9102,                      0,                      0,                      0,                      0,                 5.7381,                 8.2939,                 2.8649,             4.0324e-05,             4.0324e-05,             4.0324e-05
                      5,                 4.9064,                 8.2697,                 2.7319,                      0,                      0,                      0,                      0,                 5.5187,                 8.2737,                 2.8192,             5.2633e-05,             5.2633e-05,             5.2633e-05
                      6,                 5.1097,                 8.2478,                 2.6716,                      0,                      0,                      0,                      0,                 5.3652,                  8.238,                 2.7562,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      7,                 5.7791,                 8.1762,                 2.7048,                      0,                      0,                      0,                      0,                 5.1965,                 8.2191,                 2.6982,             7.5554e-05,             7.5554e-05,             7.5554e-05
                      8,                 5.2576,                 8.2234,                 2.5256,                      0,                      0,                      0,                      0,                 5.0958,                 8.2046,                 2.6391,             8.6166e-05,             8.6166e-05,             8.6166e-05
                      9,                 5.0622,                 8.1405,                 2.5189,                      0,                      0,                      0,                      0,                 5.0982,                 8.1903,                 2.6301,             9.6212e-05,             9.6212e-05,             9.6212e-05
                     10,                 5.3778,                 8.0983,                 2.5156,                      0,                      0,                      0,                      0,                 5.1178,                 8.1498,                 2.6193,             0.00010569,             0.00010569,             0.00010569
                     11,                 4.3501,                 8.0873,                 2.3348,                      0,                      0,                      0,                      0,                 5.0664,                  8.133,                 2.6013,             0.00011461,             0.00011461,             0.00011461
                     12,                 4.1129,                 7.9448,                 2.3497,                      0,                      0,                      0,                      0,                 4.9164,                 8.0558,                 2.5664,             0.00012295,             0.00012295,             0.00012295
                     13,                 4.0863,                 7.8169,                 2.4549,                      0,                      0,                      0,                      0,                 4.6253,                 7.9249,                 2.4991,             0.00013074,             0.00013074,             0.00013074
                     14,                  5.594,                 7.8628,                 2.4016,                      0,                      0,                      0,                      0,                 4.5093,                 7.8933,                 2.4633,             0.00013795,             0.00013795,             0.00013795
                     15,                 4.9071,                 7.7978,                   2.31,                      0,                      0,                      0,                      0,                  4.425,                 7.8549,                 2.3945,              0.0001446,              0.0001446,              0.0001446
                     16,                 4.6481,                 7.8075,                 2.3093,                      0,                      0,                      0,                      0,                  4.389,                 7.8665,                 2.3545,             0.00015069,             0.00015069,             0.00015069
                     17,                 3.7762,                 7.5695,                 2.2801,                      0,                      0,                      0,                      0,                 4.2895,                 7.8784,                 2.2989,             0.00015621,             0.00015621,             0.00015621
                     18,                 4.3388,                  7.657,                 2.2395,                      0,                      0,                      0,                      0,                 4.2895,                 7.8784,                 2.2989,             0.00016116,             0.00016116,             0.00016116
                     19,                 3.9187,                 7.6571,                 2.2032,                      0,                      0,                      0,                      0,                 4.1102,                 7.8923,                 2.2496,             0.00016555,             0.00016555,             0.00016555
                     20,                 3.5641,                 7.2764,                 2.2669,                      0,                      0,                      0,                      0,                 4.1102,                 7.8923,                 2.2496,             0.00016937,             0.00016937,             0.00016937
                     21,                 3.7428,                 7.2991,                 2.3881,                      0,                      0,                      0,                      0,                 3.8726,                 7.8726,                 2.1961,             0.00017262,             0.00017262,             0.00017262
                     22,                 4.8646,                 7.5246,                 2.2134,                      0,                      0,                      0,                      0,                 3.8726,                 7.8726,                 2.1961,             0.00017531,             0.00017531,             0.00017531
                     23,                 4.8438,                 7.3885,                 2.1927,                      0,                      0,                      0,                      0,                 3.8112,                 7.8728,                 2.1856,             0.00017744,             0.00017744,             0.00017744
                     24,                 3.5667,                 7.3363,                 2.2135,                      0,                      0,                      0,                      0,                 3.8112,                 7.8728,                 2.1856,             0.00017899,             0.00017899,             0.00017899
                     25,                 4.6767,                 7.4376,                 2.2084,                      0,                      0,                      0,                      0,                 3.7822,                 7.8449,                 2.1692,             0.00017999,             0.00017999,             0.00017999
                     26,                 4.8758,                 7.2877,                 2.2877,                      0,                      0,                      0,                      0,                 3.7822,                 7.8449,                 2.1692,             0.00018041,             0.00018041,             0.00018041
                     27,                 4.0487,                 7.4203,                 2.2149,                      0,                      0,                      0,                      0,                 3.8422,                 7.8235,                 2.1651,             0.00018027,             0.00018027,             0.00018027
                     28,                 4.7823,                  7.377,                 2.2379,                      0,                      0,                      0,                      0,                 3.8422,                 7.8235,                 2.1651,             0.00017957,             0.00017957,             0.00017957
                     29,                 4.2086,                 7.2072,                 2.2292,                      0,                      0,                      0,                      0,                 3.8607,                  7.814,                 2.1642,             0.00017829,             0.00017829,             0.00017829
                     30,                 4.2947,                 6.8913,                 2.1949,                      0,                      0,                      0,                      0,                 3.8607,                  7.814,                 2.1642,             0.00017646,             0.00017646,             0.00017646
                     31,                 4.4717,                 7.1424,                 2.2251,                      0,                      0,                      0,                      0,                 3.8923,                 7.7688,                 2.1484,             0.00017405,             0.00017405,             0.00017405
                     32,                 3.7395,                 6.7856,                 2.1831,                      0,                      0,                      0,                      0,                 3.8923,                 7.7688,                 2.1484,             0.00017108,             0.00017108,             0.00017108
                     33,                 3.4309,                 6.9694,                 2.2452,                      0,                      0,                      0,                      0,                 3.8652,                 7.7044,                 2.1178,             0.00016755,             0.00016755,             0.00016755
                     34,                 3.5797,                 6.9693,                 2.1195,                      0,                      0,                      0,                      0,                 3.8652,                 7.7044,                 2.1178,             0.00016345,             0.00016345,             0.00016345
                     35,                 3.5442,                 6.7109,                 2.1183,                      0,                      0,                      0,                      0,                  3.747,                 7.6752,                 2.0865,             0.00015878,             0.00015878,             0.00015878
                     36,                 3.4187,                 6.6658,                 2.0261,                      0,                      0,                      0,                      0,                  3.747,                 7.6752,                 2.0865,             0.00015355,             0.00015355,             0.00015355
                     37,                 3.3522,                 6.6325,                 2.1114,                      0,                      0,                      0,                      0,                 3.6412,                 7.6349,                 2.0638,             0.00014775,             0.00014775,             0.00014775
                     38,                 4.4803,                 6.9867,                 2.1018,                      0,                      0,                      0,                      0,                 3.6412,                 7.6349,                 2.0638,             0.00014138,             0.00014138,             0.00014138
                     39,                 3.8253,                  7.048,                 2.1625,                      0,                      0,                      0,                      0,                 3.5657,                 7.6123,                 2.0497,             0.00013445,             0.00013445,             0.00013445
                     40,                  3.957,                 6.8202,                 2.0663,                      0,                      0,                      0,                      0,                 3.5657,                 7.6123,                 2.0497,             0.00012696,             0.00012696,             0.00012696
                     41,                 4.0087,                 5.9404,                 2.3278,                      0,                      0,                      0,                      0,                 3.4616,                 7.5974,                 2.0361,             0.00011889,             0.00011889,             0.00011889
