                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1688,                 8.1733,                 2.7683,                      0,                      0,                      0,                      0,                 6.0199,                 8.2995,                 2.9475,                      0,                      0,                      0
                      2,                 5.0972,                 8.2015,                  2.791,                      0,                      0,                      0,                      0,                 5.9468,                 8.2998,                 2.9089,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 4.7515,                 8.0823,                 2.6184,                      0,                      0,                      0,                      0,                 5.7955,                 8.2979,                 2.8424,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 6.1864,                 8.1819,                 2.7785,                      0,                      0,                      0,                      0,                 5.5875,                  8.297,                 2.7649,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 5.0164,                  8.032,                 2.7406,                      0,                      0,                      0,                      0,                 5.3934,                 8.2858,                 2.6844,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 4.6922,                   8.03,                 2.4809,                0.00141,                0.00309,                0.00071,                0.00057,                 5.2059,                 8.2708,                 2.5924,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 4.5045,                  7.974,                 2.4133,                0.00154,                0.00309,                0.00078,                 0.0007,                 4.9778,                 8.2545,                 2.5063,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 4.5524,                 7.9649,                 2.3962,                0.00155,                0.00309,                0.00081,                0.00073,                 4.8405,                 8.1911,                 2.4118,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                  3.937,                 7.5841,                 2.2607,                0.00167,                0.00309,                0.00102,                 0.0009,                 4.6983,                 8.1188,                 2.3244,             0.00010527,             0.00010527,             0.00010527
                     10,                   4.02,                 7.7232,                 2.3024,                0.00178,                0.00309,                0.00172,                0.00149,                 4.5546,                 8.0326,                 2.2749,             0.00011715,             0.00011715,             0.00011715
                     11,                 3.7293,                 7.5661,                 2.2609,                0.00182,                0.00309,                0.00174,                0.00152,                 4.4179,                 7.9599,                 2.2266,             0.00012875,             0.00012875,             0.00012875
                     12,                 4.4597,                 7.6907,                 2.2781,                0.00188,                0.00309,                 0.0015,                0.00131,                 4.2859,                 7.9242,                 2.1951,             0.00014007,             0.00014007,             0.00014007
                     13,                 4.7772,                 7.6759,                 2.3211,                0.00194,                0.00309,                0.00138,                0.00105,                 4.2626,                 7.9166,                 2.1886,             0.00015111,             0.00015111,             0.00015111
                     14,                 3.9629,                  7.283,                 2.2633,                0.00188,                0.00309,                0.00136,                0.00107,                 4.2992,                 7.9371,                 2.1914,             0.00016186,             0.00016186,             0.00016186
                     15,                  3.709,                 7.1306,                 2.1091,                0.00274,                0.00561,                0.00305,                0.00173,                  4.272,                 7.9472,                 2.1735,             0.00017233,             0.00017233,             0.00017233
                     16,                 4.1823,                 7.2528,                 2.1595,                0.00273,                0.00561,                0.00305,                0.00165,                 4.2912,                  7.941,                 2.1493,             0.00018252,             0.00018252,             0.00018252
                     17,                 3.7447,                 6.8709,                 2.1544,                0.00266,                0.00561,                0.00303,                0.00172,                 4.2219,                 7.8979,                 2.1311,             0.00019242,             0.00019242,             0.00019242
                     18,                 3.8603,                 7.0324,                 2.1809,                0.00266,                0.00561,                0.00303,                0.00172,                 4.2219,                 7.8979,                 2.1311,             0.00020204,             0.00020204,             0.00020204
                     19,                 4.2324,                 7.1335,                 2.1269,                0.00341,                0.00814,                0.00359,                0.00188,                  4.145,                 7.8674,                 2.1359,             0.00021138,             0.00021138,             0.00021138
                     20,                 3.6793,                 7.0678,                 2.1091,                0.00341,                0.00814,                0.00359,                0.00188,                  4.145,                 7.8674,                 2.1359,             0.00022044,             0.00022044,             0.00022044
                     21,                 4.7359,                  7.245,                 2.1971,                0.00336,                0.00814,                0.00351,                0.00177,                 4.2216,                 7.8343,                 2.1572,             0.00022921,             0.00022921,             0.00022921
                     22,                 3.5474,                 6.7541,                 2.0765,                0.00336,                0.00814,                0.00351,                0.00177,                 4.2216,                 7.8343,                 2.1572,              0.0002377,              0.0002377,              0.0002377
                     23,                  3.333,                 6.4719,                 2.0557,                0.00503,                0.01319,                0.00505,                0.00195,                 4.1672,                 7.8277,                 2.1549,             0.00024591,             0.00024591,             0.00024591
                     24,                 3.8752,                 7.0126,                 2.0177,                0.00503,                0.01319,                0.00505,                0.00195,                 4.1672,                 7.8277,                 2.1549,             0.00025383,             0.00025383,             0.00025383
                     25,                 3.6637,                 6.6447,                 2.0781,                0.00502,                0.01319,                0.00547,                0.00225,                 4.1472,                 7.8083,                 2.1719,             0.00026147,             0.00026147,             0.00026147
                     26,                 3.8423,                 6.9905,                 2.0906,                0.00502,                0.01319,                0.00547,                0.00225,                 4.1472,                 7.8083,                 2.1719,             0.00026883,             0.00026883,             0.00026883
                     27,                 3.4824,                 6.4579,                 1.9962,                0.00418,                0.01066,                 0.0047,                0.00218,                 4.1391,                  7.832,                 2.1872,             0.00027591,             0.00027591,             0.00027591
                     28,                 3.8048,                 6.5936,                 2.0171,                0.00418,                0.01066,                 0.0047,                0.00218,                 4.1391,                  7.832,                 2.1872,              0.0002827,              0.0002827,              0.0002827
                     29,                 4.2469,                 6.6688,                 2.0276,                0.00423,                0.01066,                0.00484,                0.00214,                 4.1807,                 7.8867,                  2.203,             0.00028921,             0.00028921,             0.00028921
                     30,                 4.2822,                 6.5781,                 2.1353,                0.00423,                0.01066,                0.00484,                0.00214,                 4.1807,                 7.8867,                  2.203,             0.00029543,             0.00029543,             0.00029543
                     31,                 3.5838,                 6.2365,                 1.9801,                0.00424,                0.01066,                0.00468,                0.00193,                 4.1697,                 7.8718,                 2.2006,             0.00030138,             0.00030138,             0.00030138
                     32,                 3.9184,                 6.2408,                 2.0964,                0.00424,                0.01066,                0.00468,                0.00193,                 4.1697,                 7.8718,                 2.2006,             0.00030704,             0.00030704,             0.00030704
                     33,                 3.9369,                 6.4685,                  2.096,                0.00423,                0.01066,                0.00471,                0.00175,                 4.1402,                 7.7887,                 2.1665,             0.00031241,             0.00031241,             0.00031241
                     34,                 3.5802,                 5.9734,                 1.9536,                0.00423,                0.01066,                0.00471,                0.00175,                 4.1402,                 7.7887,                 2.1665,             0.00031751,             0.00031751,             0.00031751
                     35,                 3.4394,                 6.1486,                 1.9409,                0.00421,                0.01066,                0.00396,                0.00149,                 4.0542,                 7.6657,                 2.1318,             0.00032232,             0.00032232,             0.00032232
                     36,                 3.5733,                 5.8013,                 1.9132,                0.00421,                0.01066,                0.00396,                0.00149,                 4.0542,                 7.6657,                 2.1318,             0.00032685,             0.00032685,             0.00032685
                     37,                 3.3042,                 5.7705,                 2.0528,                0.00597,                0.01571,                0.00725,                0.00232,                 3.9167,                 7.5786,                 2.0956,             0.00033109,             0.00033109,             0.00033109
                     38,                 3.4476,                 5.1165,                 2.0269,                0.00597,                0.01571,                0.00725,                0.00232,                 3.9167,                 7.5786,                 2.0956,             0.00033506,             0.00033506,             0.00033506
