                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8927,                 8.3637,                 2.9933,                      0,                      0,                      0,                      0,                  6.213,                 8.3126,                 3.0825,                      0,                      0,                      0
                      2,                 7.1396,                 8.3762,                  3.176,                      0,                      0,                      0,                      0,                 6.0899,                 8.3078,                 3.0268,             1.3583e-05,             1.3583e-05,             1.3583e-05
                      3,                 6.0711,                 8.3839,                 3.0783,                      0,                      0,                      0,                      0,                 5.9524,                 8.3029,                 2.9547,             2.5751e-05,             2.5751e-05,             2.5751e-05
