                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1978,                 8.2738,                 2.7754,                      0,                      0,                      0,                      0,                 6.1898,                 8.3094,                 3.0821,                      0,                      0,                      0
                      2,                 5.6152,                 8.3717,                 2.8787,                      0,                      0,                      0,                      0,                 6.0885,                 8.3091,                 3.0367,             1.4007e-05,             1.4007e-05,             1.4007e-05
                      3,                 5.9286,                 8.3616,                 2.8616,                      0,                      0,                      0,                      0,                 5.8734,                 8.3038,                 2.9236,             2.7448e-05,             2.7448e-05,             2.7448e-05
                      4,                 5.5758,                 8.2371,                 2.8436,                      0,                      0,                      0,                      0,                 5.5963,                 8.2944,                 2.8263,             4.0324e-05,             4.0324e-05,             4.0324e-05
                      5,                 5.9837,                 8.1994,                 2.6611,                      0,                      0,                      0,                      0,                 5.3803,                 8.2798,                 2.7577,             5.2633e-05,             5.2633e-05,             5.2633e-05
                      6,                 5.4975,                 8.2023,                  2.758,                      0,                      0,                      0,                      0,                 5.2351,                 8.2463,                 2.6856,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      7,                 4.8085,                 8.0579,                 2.6577,                      0,                      0,                      0,                      0,                 5.0213,                 8.2241,                 2.6649,             7.5554e-05,             7.5554e-05,             7.5554e-05
                      8,                 5.1687,                  8.022,                 2.4138,                      0,                      0,                      0,                      0,                 5.0533,                 8.2223,                 2.6418,             8.6166e-05,             8.6166e-05,             8.6166e-05
                      9,                 4.2425,                 8.0073,                 2.5284,                      0,                      0,                      0,                      0,                 5.0748,                 8.1316,                 2.6241,             9.6212e-05,             9.6212e-05,             9.6212e-05
                     10,                  4.386,                 7.9291,                 2.3577,                      0,                      0,                      0,                      0,                 4.9569,                 7.9834,                 2.6145,             0.00010569,             0.00010569,             0.00010569
                     11,                 4.2419,                  7.885,                 2.3215,                      0,                      0,                      0,                      0,                 4.8675,                 7.9233,                 2.6162,             0.00011461,             0.00011461,             0.00011461
                     12,                 4.4487,                 7.9106,                 2.4001,                      0,                      0,                      0,                      0,                 4.8486,                  7.862,                 2.6423,             0.00012295,             0.00012295,             0.00012295
                     13,                 4.1439,                 7.8445,                 2.2039,                      0,                      0,                      0,                      0,                  4.686,                 7.8373,                  2.529,             0.00013074,             0.00013074,             0.00013074
                     14,                 4.1208,                 7.7631,                 2.2281,                      0,                      0,                      0,                      0,                 4.4856,                 7.8083,                 2.4121,             0.00013795,             0.00013795,             0.00013795
                     15,                 4.4584,                 7.6097,                 2.1836,                      0,                      0,                      0,                      0,                 4.3914,                 7.8213,                 2.3391,              0.0001446,              0.0001446,              0.0001446
