                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4556,                 9.7388,                 4.0829,                      0,                      0,                      0,                      0,                 4.3348,                 10.492,                 3.9846,               3.45e-06,               3.45e-06,               3.45e-06
                      2,                 5.2615,                 9.7862,                 3.9487,                      0,                      0,                      0,                      0,                 4.3467,                 10.487,                 3.9464,             1.0299e-05,             1.0299e-05,             1.0299e-05
                      3,                 5.3637,                 9.8318,                  3.956,                      0,                      0,                      0,                      0,                 4.3086,                 10.482,                 3.9605,             1.7079e-05,             1.7079e-05,             1.7079e-05
                      4,                 4.6721,                 9.8038,                 3.6743,                      0,                      0,                      0,                      0,                 4.2053,                 10.465,                 3.9724,             2.3791e-05,             2.3791e-05,             2.3791e-05
                      5,                 4.5056,                 9.7426,                 3.3924,                      0,                      0,                      0,                      0,                 4.2141,                  10.47,                 3.9579,             3.0435e-05,             3.0435e-05,             3.0435e-05
                      6,                 4.5843,                  9.717,                 3.6409,                      0,                      0,                      0,                      0,                 4.2344,                 10.449,                 3.9446,             3.7011e-05,             3.7011e-05,             3.7011e-05
                      7,                 4.2187,                 9.7793,                 3.3051,                      0,                      0,                      0,                      0,                 4.2244,                 10.431,                 3.9124,             4.3518e-05,             4.3518e-05,             4.3518e-05
                      8,                 4.4788,                  9.756,                 3.4603,                      0,                      0,                      0,                      0,                 4.3241,                 10.381,                 3.8714,             4.9957e-05,             4.9957e-05,             4.9957e-05
                      9,                 3.9297,                 9.6376,                 3.1174,                      0,                      0,                      0,                      0,                 4.4498,                  10.33,                 4.0309,             5.6327e-05,             5.6327e-05,             5.6327e-05
                     10,                  4.121,                  9.628,                 3.2336,                      0,                      0,                      0,                      0,                 4.4699,                 10.326,                 3.8681,              6.263e-05,              6.263e-05,              6.263e-05
                     11,                 4.0453,                 9.5568,                 3.2204,                      0,                      0,                      0,                      0,                 4.5468,                 10.358,                 3.8028,             6.8864e-05,             6.8864e-05,             6.8864e-05
                     12,                 4.0113,                 9.5202,                 3.1487,                      0,                      0,                      0,                      0,                 4.5468,                 10.358,                 3.8028,             7.5029e-05,             7.5029e-05,             7.5029e-05
                     13,                 3.7398,                 9.5059,                 3.3003,                      0,                      0,                      0,                      0,                 4.5109,                 10.321,                 3.7673,             8.1127e-05,             8.1127e-05,             8.1127e-05
                     14,                 3.6618,                  9.513,                 3.0732,                      0,                      0,                      0,                      0,                 4.3551,                 10.272,                  3.716,             8.7156e-05,             8.7156e-05,             8.7156e-05
                     15,                 3.6369,                 9.4414,                 3.0031,                      0,                      0,                      0,                      0,                 4.3551,                 10.272,                  3.716,             9.3117e-05,             9.3117e-05,             9.3117e-05
                     16,                 3.8011,                 9.4021,                 2.9631,                      0,                      0,                      0,                      0,                 4.2073,                 10.226,                  3.606,             9.9009e-05,             9.9009e-05,             9.9009e-05
                     17,                 3.5542,                 9.2629,                  2.904,                      0,                      0,                      0,                      0,                 4.2972,                 10.219,                 3.5415,             0.00010483,             0.00010483,             0.00010483
                     18,                 3.4673,                 9.2374,                 2.9512,                      0,                      0,                      0,                      0,                 4.2972,                 10.219,                 3.5415,             0.00011059,             0.00011059,             0.00011059
                     19,                  3.672,                 9.2569,                 2.8723,                      0,                      0,                      0,                      0,                 4.3758,                 10.229,                 3.5577,             0.00011628,             0.00011628,             0.00011628
                     20,                 3.2996,                  9.121,                 2.7986,                      0,                      0,                      0,                      0,                 4.3758,                 10.229,                 3.5577,              0.0001219,              0.0001219,              0.0001219
                     21,                 3.4105,                 9.1135,                  2.839,                      0,                      0,                      0,                      0,                 4.4137,                 10.261,                  3.583,             0.00012745,             0.00012745,             0.00012745
                     22,                 3.3172,                  8.992,                 2.8647,                      0,                      0,                      0,                      0,                 4.4137,                 10.261,                  3.583,             0.00013293,             0.00013293,             0.00013293
                     23,                 3.3258,                 8.9706,                 2.9663,                      0,                      0,                      0,                      0,                  4.468,                  10.27,                 3.6679,             0.00013834,             0.00013834,             0.00013834
                     24,                 3.1811,                 8.7397,                 2.7465,                      0,                      0,                      0,                      0,                  4.468,                  10.27,                 3.6679,             0.00014369,             0.00014369,             0.00014369
                     25,                   3.17,                 8.8448,                 2.8368,                      0,                      0,                      0,                      0,                 4.4105,                 10.243,                 3.6974,             0.00014897,             0.00014897,             0.00014897
                     26,                 3.3362,                 8.7805,                 2.9777,                      0,                      0,                      0,                      0,                 4.4105,                 10.243,                 3.6974,             0.00015418,             0.00015418,             0.00015418
                     27,                 3.1965,                 8.7251,                 2.9237,                      0,                      0,                      0,                      0,                 4.4105,                 10.243,                 3.6974,             0.00015932,             0.00015932,             0.00015932
                     28,                 2.9935,                 8.5825,                 2.6496,                      0,                      0,                      0,                      0,                 4.2594,                 10.289,                 3.6608,             0.00016439,             0.00016439,             0.00016439
                     29,                 3.1424,                 8.5759,                 2.8361,                      0,                      0,                      0,                      0,                 4.2594,                 10.289,                 3.6608,             0.00016939,             0.00016939,             0.00016939
                     30,                 3.1677,                 8.7061,                 2.7183,                      0,                      0,                      0,                      0,                 4.1296,                 10.231,                 3.7589,             0.00017433,             0.00017433,             0.00017433
                     31,                 3.0003,                  8.447,                 2.5534,                      0,                      0,                      0,                      0,                 4.1296,                 10.231,                 3.7589,              0.0001792,              0.0001792,              0.0001792
                     32,                 2.7942,                 8.3223,                 2.5813,                      0,                      0,                      0,                      0,                 4.1296,                 10.231,                 3.7589,               0.000184,               0.000184,               0.000184
                     33,                 3.0541,                 8.2899,                 2.6695,                      0,                      0,                      0,                      0,                  4.103,                 10.195,                 3.8006,             0.00018873,             0.00018873,             0.00018873
                     34,                 3.1247,                 8.3248,                 2.6646,                      0,                      0,                      0,                      0,                  4.103,                 10.195,                 3.8006,             0.00019339,             0.00019339,             0.00019339
                     35,                 3.2111,                 8.3193,                 2.6917,                      0,                      0,                      0,                      0,                  4.103,                 10.195,                 3.8006,             0.00019799,             0.00019799,             0.00019799
                     36,                 2.9879,                 8.0885,                 2.7371,                      0,                      0,                      0,                      0,                 4.0529,                 10.135,                 3.7566,             0.00020251,             0.00020251,             0.00020251
                     37,                 2.9389,                 8.2011,                 2.5891,                      0,                      0,                      0,                      0,                 4.0529,                 10.135,                 3.7566,             0.00020697,             0.00020697,             0.00020697
                     38,                 2.8326,                  8.153,                 2.5946,                      0,                      0,                      0,                      0,                 4.0529,                 10.135,                 3.7566,             0.00021136,             0.00021136,             0.00021136
                     39,                 2.9849,                 8.0547,                 2.6032,                 0.0057,                0.13194,                 0.0049,                0.00276,                 3.9602,                 10.131,                 3.7144,             0.00021568,             0.00021568,             0.00021568
                     40,                 2.8058,                  7.905,                 2.5725,                 0.0057,                0.13194,                 0.0049,                0.00276,                 3.9602,                 10.131,                 3.7144,             0.00021993,             0.00021993,             0.00021993
                     41,                  2.818,                  7.878,                 2.5504,                 0.0057,                0.13194,                 0.0049,                0.00276,                 3.9602,                 10.131,                 3.7144,             0.00022412,             0.00022412,             0.00022412
                     42,                 3.0348,                 8.0618,                 2.5723,                0.00662,                 0.1875,                0.00698,                0.00393,                 4.0305,                 10.106,                 3.7194,             0.00022824,             0.00022824,             0.00022824
                     43,                 2.9836,                 7.8467,                 2.5282,                0.00662,                 0.1875,                0.00698,                0.00393,                 4.0305,                 10.106,                 3.7194,             0.00023228,             0.00023228,             0.00023228
                     44,                 2.8165,                 7.7066,                 2.5934,                0.00662,                 0.1875,                0.00698,                0.00393,                 4.0305,                 10.106,                 3.7194,             0.00023626,             0.00023626,             0.00023626
                     45,                 2.8675,                 7.8193,                 2.6121,                0.00662,                 0.1875,                0.00698,                0.00393,                 4.0305,                 10.106,                 3.7194,             0.00024017,             0.00024017,             0.00024017
                     46,                 2.9325,                 7.6679,                 2.6152,                0.00575,                 0.1875,                  0.009,                0.00526,                 4.0542,                 10.045,                 3.7152,             0.00024402,             0.00024402,             0.00024402
                     47,                 2.9092,                 7.6081,                 2.6606,                0.00575,                 0.1875,                  0.009,                0.00526,                 4.0542,                 10.045,                 3.7152,             0.00024779,             0.00024779,             0.00024779
                     48,                  3.053,                 7.6841,                  2.654,                0.00575,                 0.1875,                  0.009,                0.00526,                 4.0542,                 10.045,                 3.7152,              0.0002515,              0.0002515,              0.0002515
                     49,                 2.9075,                 7.6101,                 2.6313,                0.00575,                 0.1875,                  0.009,                0.00526,                 4.0542,                 10.045,                 3.7152,             0.00025514,             0.00025514,             0.00025514
                     50,                 3.0126,                 7.4972,                 2.5592,                0.06223,                0.21667,                0.05495,                0.02198,                 4.0351,                 9.9949,                 3.7183,             0.00025871,             0.00025871,             0.00025871
                     51,                 2.8444,                 7.3959,                 2.5615,                0.06223,                0.21667,                0.05495,                0.02198,                 4.0351,                 9.9949,                 3.7183,             0.00025961,             0.00025961,             0.00025961
                     52,                 2.8548,                 7.3792,                 2.5686,                0.06223,                0.21667,                0.05495,                0.02198,                 4.0351,                 9.9949,                 3.7183,              0.0002579,              0.0002579,              0.0002579
                     53,                 2.6933,                 7.2213,                 2.4263,                0.06223,                0.21667,                0.05495,                0.02198,                 4.0351,                 9.9949,                 3.7183,              0.0002562,              0.0002562,              0.0002562
                     54,                 2.8571,                 7.3986,                 2.5593,                0.03466,                0.27917,                0.02967,                0.01105,                 3.8722,                 9.9468,                 3.6873,             0.00025449,             0.00025449,             0.00025449
                     55,                 2.7553,                 7.1546,                  2.447,                0.03466,                0.27917,                0.02967,                0.01105,                 3.8722,                 9.9468,                 3.6873,             0.00025278,             0.00025278,             0.00025278
                     56,                 2.8522,                 7.2177,                 2.4464,                0.03466,                0.27917,                0.02967,                0.01105,                 3.8722,                 9.9468,                 3.6873,             0.00025107,             0.00025107,             0.00025107
