                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4855,                 8.1858,                 2.9046,                0.00089,                0.00133,                0.00045,                  9e-05,                 5.1456,                 8.2538,                 2.8127,                      0,                      0,                      0
                      2,                 5.6966,                 8.1798,                 3.0226,                0.00162,                0.00266,                0.00082,                0.00012,                  5.063,                 8.2516,                 2.7621,             1.4276e-05,             1.4276e-05,             1.4276e-05
                      3,                 5.9592,                 8.1885,                 2.9587,                0.00153,                0.00266,                0.00077,                0.00012,                 4.9617,                 8.2419,                 2.6839,             2.8523e-05,             2.8523e-05,             2.8523e-05
                      4,                  5.199,                 8.0986,                 2.6571,                0.00069,                0.00133,                0.00035,                  3e-05,                 4.7321,                 8.2269,                 2.5564,             4.2743e-05,             4.2743e-05,             4.2743e-05
                      5,                 5.4245,                 8.1026,                  2.749,                0.00064,                0.00133,                0.00032,                 0.0001,                 4.5283,                 8.1835,                 2.4197,             5.6934e-05,             5.6934e-05,             5.6934e-05
                      6,                 4.8471,                 8.0009,                 2.6491,                0.00127,                0.00266,                0.00065,                0.00042,                 4.2077,                 8.0906,                 2.2673,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      7,                 5.1013,                 7.9665,                 2.6046,                0.00359,                0.00664,                0.00186,                0.00077,                 4.0037,                 8.0165,                 2.1647,             8.5231e-05,             8.5231e-05,             8.5231e-05
                      8,                 4.1982,                 7.8205,                 2.3449,                0.00846,                  0.179,                 0.0051,                0.00206,                 3.9361,                 7.9326,                 2.1103,             9.9337e-05,             9.9337e-05,             9.9337e-05
                      9,                 4.2544,                 7.8122,                 2.2942,                0.01322,                0.02176,                0.00742,                0.00354,                 3.9339,                 7.8796,                 2.0699,             0.00011341,             0.00011341,             0.00011341
                     10,                  4.154,                 7.6121,                 2.2994,                0.01903,                0.03131,                0.01112,                0.00631,                 3.8993,                   7.85,                 2.0397,             0.00012746,             0.00012746,             0.00012746
                     11,                 3.9964,                 7.5578,                 2.1922,                 0.0198,                0.03277,                0.01194,                 0.0057,                 3.8423,                 7.8491,                 2.0177,             0.00014149,             0.00014149,             0.00014149
                     12,                  4.208,                 7.4505,                 2.2455,                0.01768,                0.03302,                0.01191,                0.00537,                  3.789,                 7.8716,                 2.0137,             0.00015548,             0.00015548,             0.00015548
                     13,                 4.0087,                 7.2565,                 2.1519,                0.01851,                 0.0358,                0.01224,                0.00535,                 3.7341,                 7.9199,                 2.0284,             0.00016944,             0.00016944,             0.00016944
                     14,                 4.2876,                 7.2799,                  2.186,                0.01811,                 0.0358,                0.01336,                 0.0055,                 3.7088,                 7.9744,                   2.05,             0.00018338,             0.00018338,             0.00018338
                     15,                 3.6919,                  6.911,                 2.1286,                0.01938,                0.03833,                0.01385,                0.00612,                 3.6692,                 7.9184,                 2.0258,             0.00019729,             0.00019729,             0.00019729
                     16,                  3.928,                 6.9565,                 2.1576,                0.02198,                0.04364,                0.01835,                0.00773,                 3.6044,                 7.8206,                 1.9975,             0.00021117,             0.00021117,             0.00021117
                     17,                 4.0951,                 6.7273,                 2.1559,                0.02347,                0.04643,                0.02238,                0.00978,                 3.5906,                 7.7321,                 1.9833,             0.00022502,             0.00022502,             0.00022502
                     18,                 3.6167,                 6.6895,                 2.0814,                0.02347,                0.04643,                0.02238,                0.00978,                 3.5906,                 7.7321,                 1.9833,             0.00023884,             0.00023884,             0.00023884
                     19,                 4.1104,                 6.7362,                 2.1386,                0.02806,                0.05054,                0.02595,                 0.0113,                 3.5882,                 7.6941,                 1.9794,             0.00025264,             0.00025264,             0.00025264
                     20,                 3.7623,                  6.574,                 2.0414,                0.02806,                0.05054,                0.02595,                 0.0113,                 3.5882,                 7.6941,                 1.9794,              0.0002664,              0.0002664,              0.0002664
                     21,                 4.0601,                 6.4984,                 2.1051,                0.02864,                0.05067,                0.02757,                0.01263,                 3.6363,                  7.678,                 1.9924,             0.00028014,             0.00028014,             0.00028014
                     22,                 3.7384,                 6.3993,                 2.0609,                0.02864,                0.05067,                0.02757,                0.01263,                 3.6363,                  7.678,                 1.9924,             0.00029385,             0.00029385,             0.00029385
                     23,                 3.7405,                 6.3704,                 2.0324,                0.02818,                0.05029,                0.02904,                0.01334,                 3.6816,                  7.615,                      2,             0.00030753,             0.00030753,             0.00030753
                     24,                 4.1481,                 6.2698,                 2.0538,                0.02818,                0.05029,                0.02904,                0.01334,                 3.6816,                  7.615,                      2,             0.00032119,             0.00032119,             0.00032119
                     25,                 3.8009,                 6.2628,                 1.9828,                0.02531,                0.04896,                0.02645,                0.01126,                 3.7321,                 7.5904,                 2.0096,             0.00033481,             0.00033481,             0.00033481
                     26,                  3.759,                 5.9642,                 2.0867,                0.02531,                0.04896,                0.02645,                0.01126,                 3.7321,                 7.5904,                 2.0096,             0.00034841,             0.00034841,             0.00034841
