                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7206,                 10.163,                 2.8303,                      0,                      0,                      0,                      0,                 5.1142,                 10.374,                 2.7989,               3.45e-06,               3.45e-06,               3.45e-06
                      2,                 5.9709,                 10.279,                 2.8951,                      0,                      0,                      0,                      0,                 5.0314,                 10.376,                 2.7449,             1.0299e-05,             1.0299e-05,             1.0299e-05
                      3,                 5.3774,                 10.132,                 2.6973,                      0,                      0,                      0,                      0,                 4.9432,                 10.369,                 2.6717,             1.7079e-05,             1.7079e-05,             1.7079e-05
                      4,                 4.7964,                 10.187,                 2.4542,                      0,                      0,                      0,                      0,                 4.7795,                  10.36,                 2.5576,             2.3791e-05,             2.3791e-05,             2.3791e-05
                      5,                 5.0064,                 10.113,                 2.5265,                      0,                      0,                      0,                      0,                 4.6889,                  10.34,                 2.5009,             3.0435e-05,             3.0435e-05,             3.0435e-05
                      6,                 5.0838,                 10.099,                 2.4606,                      0,                      0,                      0,                      0,                 4.5971,                 10.304,                 2.4273,             3.7011e-05,             3.7011e-05,             3.7011e-05
                      7,                 4.6486,                 10.057,                 2.4112,                      0,                      0,                      0,                      0,                 4.4721,                 10.255,                  2.346,             4.3518e-05,             4.3518e-05,             4.3518e-05
                      8,                 4.7935,                 10.087,                 2.3114,                      0,                      0,                      0,                      0,                 4.3281,                   10.2,                 2.2644,             4.9957e-05,             4.9957e-05,             4.9957e-05
                      9,                 4.6253,                 10.039,                 2.3801,                      0,                      0,                      0,                      0,                 4.2079,                 10.159,                 2.1955,             5.6327e-05,             5.6327e-05,             5.6327e-05
                     10,                 4.3591,                 9.9877,                 2.2315,                      0,                      0,                      0,                      0,                 4.1062,                 10.108,                  2.153,              6.263e-05,              6.263e-05,              6.263e-05
                     11,                 4.2537,                 9.9044,                 2.2242,                      0,                      0,                      0,                      0,                 4.0767,                  10.04,                 2.1167,             6.8864e-05,             6.8864e-05,             6.8864e-05
                     12,                 4.2679,                 9.8582,                 2.2343,                      0,                      0,                      0,                      0,                 4.0767,                  10.04,                 2.1167,             7.5029e-05,             7.5029e-05,             7.5029e-05
                     13,                 4.2729,                 9.7614,                 2.1945,                      0,                      0,                      0,                      0,                 3.9841,                 9.9881,                 2.0706,             8.1127e-05,             8.1127e-05,             8.1127e-05
                     14,                 4.1713,                 9.7751,                 2.1574,                      0,                      0,                      0,                      0,                 3.8967,                 9.9495,                 2.0243,             8.7156e-05,             8.7156e-05,             8.7156e-05
                     15,                 3.9986,                 9.6221,                 2.1196,                      0,                      0,                      0,                      0,                 3.8967,                 9.9495,                 2.0243,             9.3117e-05,             9.3117e-05,             9.3117e-05
                     16,                 4.1477,                 9.6838,                 2.0852,                      0,                      0,                      0,                      0,                 3.8477,                 9.9179,                 2.0052,             9.9009e-05,             9.9009e-05,             9.9009e-05
                     17,                 4.1803,                 9.6893,                 2.1261,                      0,                      0,                      0,                      0,                 3.7774,                  9.909,                 1.9932,             0.00010483,             0.00010483,             0.00010483
                     18,                 3.8921,                 9.4616,                 2.1008,                      0,                      0,                      0,                      0,                 3.7774,                  9.909,                 1.9932,             0.00011059,             0.00011059,             0.00011059
                     19,                 3.7406,                 9.4183,                 2.0304,                      0,                      0,                      0,                      0,                 3.6448,                 9.8925,                 1.9726,             0.00011628,             0.00011628,             0.00011628
                     20,                 3.7465,                 9.3739,                 2.0901,                      0,                      0,                      0,                      0,                 3.6448,                 9.8925,                 1.9726,              0.0001219,              0.0001219,              0.0001219
                     21,                  3.821,                 9.3539,                 2.0551,                      0,                      0,                      0,                      0,                 3.4987,                  9.857,                 1.9588,             0.00012745,             0.00012745,             0.00012745
                     22,                 4.1257,                 9.3144,                 2.0643,                      0,                      0,                      0,                      0,                 3.4987,                  9.857,                 1.9588,             0.00013293,             0.00013293,             0.00013293
                     23,                 4.0236,                 9.3643,                 2.1429,                0.11111,                0.00133,                0.05578,                0.05578,                 3.4424,                 9.8316,                 1.9642,             0.00013834,             0.00013834,             0.00013834
                     24,                 3.4684,                 9.0198,                 2.0168,                0.11111,                0.00133,                0.05578,                0.05578,                 3.4424,                 9.8316,                 1.9642,             0.00014369,             0.00014369,             0.00014369
                     25,                 3.7262,                 9.0559,                 1.9922,                0.18333,                0.01461,                0.09753,                0.06495,                 3.4213,                 9.7787,                 1.9648,             0.00014897,             0.00014897,             0.00014897
                     26,                 3.6319,                 9.0484,                  2.027,                0.18333,                0.01461,                0.09753,                0.06495,                 3.4213,                 9.7787,                 1.9648,             0.00015418,             0.00015418,             0.00015418
                     27,                 3.6491,                 9.1378,                 2.0164,                0.18333,                0.01461,                0.09753,                0.06495,                 3.4213,                 9.7787,                 1.9648,             0.00015932,             0.00015932,             0.00015932
                     28,                 3.5264,                  8.908,                 2.0187,                0.44444,                0.03067,                 0.2367,                0.08962,                 3.4162,                 9.6927,                 1.9716,             0.00016439,             0.00016439,             0.00016439
                     29,                 3.6272,                 8.7375,                 2.0288,                0.44444,                0.03067,                 0.2367,                0.08962,                 3.4162,                 9.6927,                 1.9716,             0.00016939,             0.00016939,             0.00016939
                     30,                 4.1442,                 9.1726,                 2.0794,                0.12078,                0.03611,                0.07783,                0.02558,                 3.4436,                 9.5879,                  1.964,             0.00017433,             0.00017433,             0.00017433
                     31,                 4.0835,                 8.7951,                  2.033,                0.12078,                0.03611,                0.07783,                0.02558,                 3.4436,                 9.5879,                  1.964,              0.0001792,              0.0001792,              0.0001792
                     32,                  3.446,                 8.4872,                 1.9708,                0.12078,                0.03611,                0.07783,                0.02558,                 3.4436,                 9.5879,                  1.964,               0.000184,               0.000184,               0.000184
                     33,                  3.935,                 8.6879,                  2.015,                 0.1298,                0.04168,                0.08573,                 0.0334,                 3.4527,                 9.4245,                 1.9447,             0.00018873,             0.00018873,             0.00018873
