                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 16.247,                      0,                      0,                      0,                      0,                      0,                      0,                  10.28,                      0,                      0,                      0,                      0
                      2,                      0,                 16.152,                      0,                      0,                      0,                      0,                      0,                      0,                 10.281,                      0,             1.2875e-05,             1.2875e-05,             1.2875e-05
                      3,                      0,                  16.23,                      0,                      0,                      0,                      0,                      0,                      0,                 10.283,                      0,             2.2921e-05,             2.2921e-05,             2.2921e-05
